osmid,y,x,street_count,highway,geometry
2292336712,36.3674824,127.3616724,3,,POINT (127.3616724 36.3674824)
2292338854,36.3708628,127.3562096,1,,POINT (127.3562096 36.3708628)
2292338857,36.3714898,127.356198,3,,POINT (127.356198 36.3714898)
2292342537,36.3653961,127.3590961,3,,POINT (127.3590961 36.3653961)
2292342538,36.3650139,127.3587702,3,,POINT (127.3587702 36.3650139)
2292342539,36.3651595,127.3586508,3,,POINT (127.3586508 36.3651595)
2292342540,36.3653252,127.3585149,3,,POINT (127.3585149 36.3653252)
2292342541,36.3655567,127.3589637,3,,POINT (127.3589637 36.3655567)
2292342978,36.3656184,127.3582745,3,,POINT (127.3582745 36.3656184)
2292342979,36.3654954,127.3583754,3,,POINT (127.3583754 36.3654954)
2292342980,36.3660211,127.3579443,3,,POINT (127.3579443 36.3660211)
2292345422,36.366673,127.3583694,3,,POINT (127.3583694 36.366673)
2292346328,36.3671182,127.3585881,1,,POINT (127.3585881 36.3671182)
2292346334,36.3669324,127.3585317,3,,POINT (127.3585317 36.3669324)
2292346336,36.3670429,127.3584407,1,,POINT (127.3584407 36.3670429)
2292354473,36.3680536,127.356582,3,,POINT (127.356582 36.3680536)
2292359495,36.3688047,127.3567624,4,,POINT (127.3567624 36.3688047)
2292361220,36.3688099,127.356126,1,,POINT (127.356126 36.3688099)
2293459552,36.3693322,127.3561371,3,,POINT (127.3561371 36.3693322)
2293460994,36.369888,127.3555954,1,,POINT (127.3555954 36.369888)
2293462789,36.3708561,127.3552863,3,,POINT (127.3552863 36.3708561)
2293462790,36.371491,127.3554798,3,,POINT (127.3554798 36.371491)
2293469581,36.3702243,127.3593573,1,,POINT (127.3593573 36.3702243)
2293469582,36.3705485,127.3598941,3,,POINT (127.3598941 36.3705485)
2293532366,36.3696797,127.3604551,3,,POINT (127.3604551 36.3696797)
2293534114,36.3712707,127.3606504,3,,POINT (127.3606504 36.3712707)
2293534115,36.3709488,127.3609022,4,,POINT (127.3609022 36.3709488)
2293534607,36.3710656,127.3608025,4,,POINT (127.3608025 36.3710656)
2293534609,36.3706995,127.3604417,3,,POINT (127.3604417 36.3706995)
2293534883,36.3707944,127.3610281,3,,POINT (127.3610281 36.3707944)
2293536691,36.3703384,127.3616843,3,,POINT (127.3616843 36.3703384)
2293536706,36.3701329,127.3612967,3,,POINT (127.3612967 36.3701329)
2293539664,36.3703388,127.3632492,3,,POINT (127.3632492 36.3703388)
2293539665,36.369684,127.3632104,3,,POINT (127.3632104 36.369684)
2293539666,36.3696157,127.3630742,1,,POINT (127.3630742 36.3696157)
2293539667,36.3698847,127.3636102,3,,POINT (127.3636102 36.3698847)
2293539967,36.3697659,127.3633736,3,,POINT (127.3633736 36.3697659)
2293539968,36.3702897,127.3631534,3,,POINT (127.3631534 36.3702897)
2293539970,36.3701313,127.3628438,3,,POINT (127.3628438 36.3701313)
2293539971,36.370215,127.3630074,3,,POINT (127.3630074 36.370215)
2293544759,36.3699694,127.3625247,1,,POINT (127.3625247 36.3699694)
2293545799,36.3698444,127.3635299,3,,POINT (127.3635299 36.3698444)
2293550214,36.3669095,127.3655931,3,,POINT (127.3655931 36.3669095)
2293551606,36.3679535,127.3647591,3,,POINT (127.3647591 36.3679535)
2293551607,36.3678814,127.3646208,3,,POINT (127.3646208 36.3678814)
2293551610,36.367607,127.3648505,3,,POINT (127.3648505 36.367607)
2293551611,36.3676758,127.3649899,3,,POINT (127.3649899 36.3676758)
2293552798,36.3668022,127.3648175,3,,POINT (127.3648175 36.3668022)
2293552799,36.3665931,127.3641095,1,,POINT (127.3641095 36.3665931)
2293553833,36.3670357,127.3646244,1,,POINT (127.3646244 36.3670357)
2293554294,36.3675634,127.3661501,1,,POINT (127.3661501 36.3675634)
2293554881,36.3677103,127.3665041,1,,POINT (127.3665041 36.3677103)
2293554883,36.3675806,127.3660657,3,,POINT (127.3660657 36.3675806)
2293555950,36.3688652,127.3671817,4,,POINT (127.3671817 36.3688652)
2293556604,36.367691,127.3666773,3,,POINT (127.3666773 36.367691)
2293556605,36.3677939,127.3671884,4,,POINT (127.3671884 36.3677939)
2293557683,36.3684161,127.367427,3,,POINT (127.367427 36.3684161)
2293557687,36.3684058,127.3673275,1,,POINT (127.3673275 36.3684058)
2293558694,36.368896,127.3675179,3,,POINT (127.3675179 36.368896)
2293558695,36.3689932,127.3674411,3,,POINT (127.3674411 36.3689932)
2293558696,36.3686196,127.367864,3,,POINT (127.367864 36.3686196)
2293558846,36.36876,127.3681483,3,,POINT (127.3681483 36.36876)
2293580441,36.370817,127.3679843,3,,POINT (127.3679843 36.370817)
2293581218,36.3707382,127.3656683,3,,POINT (127.3656683 36.3707382)
2293581220,36.3709252,127.3665533,3,,POINT (127.3665533 36.3709252)
2293581794,36.3706307,127.3664705,4,,POINT (127.3664705 36.3706307)
2293583308,36.3708751,127.3661202,3,,POINT (127.3661202 36.3708751)
2293584471,36.3713754,127.364192,1,,POINT (127.364192 36.3713754)
2293584747,36.3713829,127.365093,3,,POINT (127.365093 36.3713829)
2293584748,36.3715546,127.3658898,1,,POINT (127.3658898 36.3715546)
2293585317,36.3710513,127.3642154,1,,POINT (127.3642154 36.3710513)
2293585318,36.3708858,127.3643483,3,,POINT (127.3643483 36.3708858)
2293585789,36.3708317,127.364178,3,,POINT (127.364178 36.3708317)
2293585791,36.370736,127.3633672,3,,POINT (127.3633672 36.370736)
2293590487,36.3725462,127.3595789,3,,POINT (127.3595789 36.3725462)
2293592121,36.3729705,127.359585,3,,POINT (127.359585 36.3729705)
2293592122,36.3729673,127.3580521,3,,POINT (127.3580521 36.3729673)
2293592721,36.3729831,127.3590415,3,,POINT (127.3590415 36.3729831)
2293592722,36.3729721,127.3594474,3,,POINT (127.3594474 36.3729721)
2294277553,36.3716038,127.3572417,1,,POINT (127.3572417 36.3716038)
2294278118,36.3713847,127.3578889,3,,POINT (127.3578889 36.3713847)
2294278363,36.3719273,127.3579028,1,,POINT (127.3579028 36.3719273)
2294278714,36.3716762,127.359559,3,,POINT (127.359559 36.3716762)
2294278716,36.3716747,127.358618,3,,POINT (127.358618 36.3716747)
2294279422,36.3736452,127.356741,1,,POINT (127.356741 36.3736452)
2294279586,36.3734317,127.3572173,3,,POINT (127.3572173 36.3734317)
2294281926,36.3746505,127.3605398,3,,POINT (127.3605398 36.3746505)
2294284343,36.3744981,127.3607198,3,,POINT (127.3607198 36.3744981)
2294287859,36.375332,127.3611094,3,,POINT (127.3611094 36.375332)
2294288398,36.3756323,127.3634578,1,,POINT (127.3634578 36.3756323)
2294288400,36.3758309,127.3604162,1,,POINT (127.3604162 36.3758309)
2294290626,36.3751027,127.3621677,3,,POINT (127.3621677 36.3751027)
2294290629,36.3757288,127.362141,3,,POINT (127.362141 36.3757288)
2294291321,36.3751052,127.3618431,4,,POINT (127.3618431 36.3751052)
2294291323,36.3751086,127.3614247,3,,POINT (127.3614247 36.3751086)
2294291940,36.3752867,127.3626371,1,,POINT (127.3626371 36.3752867)
2294291941,36.3750989,127.3626424,3,,POINT (127.3626424 36.3750989)
2294291985,36.3750956,127.3630581,3,,POINT (127.3630581 36.3750956)
2294291986,36.375662,127.3630503,3,,POINT (127.3630503 36.375662)
2294292102,36.3750901,127.3637528,3,,POINT (127.3637528 36.3750901)
2294292104,36.3751939,127.3630568,3,,POINT (127.3630568 36.3751939)
2294292531,36.375609,127.3650781,3,,POINT (127.3650781 36.375609)
2294292532,36.3753875,127.3645203,2,,POINT (127.3645203 36.3753875)
2294292910,36.3757271,127.3644857,3,,POINT (127.3644857 36.3757271)
2331413823,36.3753265,127.3644007,1,bus_stop,POINT (127.3644007 36.3753265)
2331414153,36.3724961,127.3633699,4,crossing,POINT (127.3633699 36.3724961)
2331414822,36.3724958,127.3635008,3,,POINT (127.3635008 36.3724958)
2331415111,36.3724946,127.3636914,3,,POINT (127.3636914 36.3724946)
2331415151,36.3724928,127.3638842,3,,POINT (127.3638842 36.3724928)
2331415160,36.3728022,127.364075,3,,POINT (127.364075 36.3728022)
2331415471,36.3722799,127.3636077,3,,POINT (127.3636077 36.3722799)
2331416520,36.3744994,127.3624625,3,,POINT (127.3624625 36.3744994)
2331416522,36.3744983,127.362887,3,,POINT (127.362887 36.3744983)
2331416651,36.3744991,127.3621675,3,,POINT (127.3621675 36.3744991)
2331416652,36.3741927,127.3621755,1,,POINT (127.3621755 36.3741927)
2331416740,36.3726019,127.3621346,3,,POINT (127.3621346 36.3726019)
2908483724,36.3669025,127.3647311,3,,POINT (127.3647311 36.3669025)
2908483725,36.367043,127.3596076,3,,POINT (127.3596076 36.367043)
2932858551,36.3669871,127.3651753,1,,POINT (127.3651753 36.3669871)
4213322167,36.3755666,127.3652598,3,,POINT (127.3652598 36.3755666)
4531926854,36.3648624,127.3584633,3,,POINT (127.3584633 36.3648624)
4627616334,36.3745268,127.3661697,1,,POINT (127.3661697 36.3745268)
4627817988,36.3730146,127.3648536,3,,POINT (127.3648536 36.3730146)
4627817993,36.3724949,127.3667705,1,,POINT (127.3667705 36.3724949)
4627973421,36.3657936,127.3639293,3,,POINT (127.3639293 36.3657936)
4627973422,36.3653867,127.36372,3,,POINT (127.36372 36.3653867)
4627973435,36.3655364,127.3640553,4,traffic_signals,POINT (127.3640553 36.3655364)
4627973436,36.3657439,127.3638045,3,,POINT (127.3638045 36.3657439)
4627982679,36.3746425,127.3629951,3,,POINT (127.3629951 36.3746425)
4628030973,36.3694313,127.3695003,3,,POINT (127.3695003 36.3694313)
4634216986,36.369463,127.3695041,3,,POINT (127.3695041 36.369463)
4634217697,36.3704718,127.365884,3,,POINT (127.365884 36.3704718)
4634217698,36.3699306,127.3663194,3,,POINT (127.3663194 36.3699306)
4634217706,36.3696281,127.3638026,3,,POINT (127.3638026 36.3696281)
4634753893,36.3664484,127.357437,3,,POINT (127.357437 36.3664484)
4634753896,36.367151,127.3569787,3,,POINT (127.3569787 36.367151)
4637385062,36.3645383,127.360672,3,,POINT (127.360672 36.3645383)
4637385065,36.3644655,127.3608272,3,,POINT (127.3608272 36.3644655)
4641480383,36.3656155,127.3629189,3,,POINT (127.3629189 36.3656155)
4643926605,36.3707016,127.3596696,3,,POINT (127.3596696 36.3707016)
4643926606,36.3708319,127.3594689,3,,POINT (127.3594689 36.3708319)
4647854231,36.3722802,127.3640701,1,,POINT (127.3640701 36.3722802)
4647854232,36.3724958,127.3636007,3,,POINT (127.3636007 36.3724958)
4647854237,36.3727835,127.3636827,1,,POINT (127.3636827 36.3727835)
4647854243,36.3724983,127.3640679,3,,POINT (127.3640679 36.3724983)
4654928260,36.366888,127.3595562,3,,POINT (127.3595562 36.366888)
4654928261,36.3667255,127.3601538,1,,POINT (127.3601538 36.3667255)
4654928262,36.3667695,127.3600036,3,,POINT (127.3600036 36.3667695)
4654928265,36.3671844,127.359888,1,,POINT (127.359888 36.3671844)
4722087782,36.3740398,127.3647233,3,,POINT (127.3647233 36.3740398)
4730731391,36.3715174,127.3536002,3,,POINT (127.3536002 36.3715174)
4731581478,36.3734695,127.3668017,4,,POINT (127.3668017 36.3734695)
4736308374,36.374423,127.3646737,3,,POINT (127.3646737 36.374423)
4736308375,36.3744204,127.3648428,1,,POINT (127.3648428 36.3744204)
4798029853,36.3696832,127.3577209,1,,POINT (127.3577209 36.3696832)
4927687871,36.3727529,127.3645297,3,crossing,POINT (127.3645297 36.3727529)
4937770601,36.3697555,127.363518,1,,POINT (127.363518 36.3697555)
4937770609,36.3738153,127.3642334,1,,POINT (127.3642334 36.3738153)
4937770619,36.3745234,127.3645408,1,,POINT (127.3645408 36.3745234)
4941377123,36.374499,127.3629972,3,,POINT (127.3629972 36.374499)
4941377134,36.3730126,127.361831,1,,POINT (127.361831 36.3730126)
4941377156,36.3711978,127.3613725,3,,POINT (127.3613725 36.3711978)
4943314670,36.3733302,127.3621016,1,,POINT (127.3621016 36.3733302)
4943734639,36.3699727,127.3662856,4,,POINT (127.3662856 36.3699727)
4943734640,36.3703637,127.365971,3,,POINT (127.365971 36.3703637)
4943734641,36.3699824,127.3659822,3,,POINT (127.3659822 36.3699824)
4943734642,36.3695439,127.3651383,1,,POINT (127.3651383 36.3695439)
4943734654,36.3707252,127.3656788,3,,POINT (127.3656788 36.3707252)
4943734655,36.3704552,127.3651723,1,,POINT (127.3651723 36.3704552)
4943734701,36.3696649,127.366534,3,,POINT (127.366534 36.3696649)
4943734702,36.3691394,127.365518,1,,POINT (127.365518 36.3691394)
4943734718,36.370682,127.3671774,1,,POINT (127.3671774 36.370682)
4943734748,36.3663055,127.364312,3,,POINT (127.364312 36.3663055)
4943734750,36.3662568,127.3639459,1,,POINT (127.3639459 36.3662568)
4943734753,36.3677385,127.3673427,1,,POINT (127.3673427 36.3677385)
4943734754,36.3664386,127.3646531,3,,POINT (127.3646531 36.3664386)
4943734755,36.3663461,127.3646889,3,,POINT (127.3646889 36.3663461)
4943734756,36.3665038,127.3650701,3,,POINT (127.3650701 36.3665038)
4943734757,36.3668821,127.3657663,3,,POINT (127.3657663 36.3668821)
4943734758,36.3674721,127.3668553,3,,POINT (127.3668553 36.3674721)
4943734759,36.3676959,127.3672647,3,,POINT (127.3672647 36.3676959)
4943946155,36.3696742,127.3564804,1,,POINT (127.3564804 36.3696742)
4943946156,36.3693222,127.3568197,1,,POINT (127.3568197 36.3693222)
4945111989,36.3685998,127.356203,1,,POINT (127.356203 36.3685998)
4945112006,36.3701543,127.3563212,1,,POINT (127.3563212 36.3701543)
4945112013,36.3684761,127.3573321,1,,POINT (127.3573321 36.3684761)
4945112069,36.369928,127.3595612,1,,POINT (127.3595612 36.369928)
5437915825,36.3723058,127.3624543,3,,POINT (127.3624543 36.3723058)
8344008188,36.3704623,127.3667707,1,,POINT (127.3667707 36.3704623)
8344008189,36.3702443,127.3669117,3,,POINT (127.3669117 36.3702443)
8344008192,36.3707366,127.3678331,3,,POINT (127.3678331 36.3707366)
8693207706,36.3751111,127.3611049,3,,POINT (127.3611049 36.3751111)
9017069244,36.3707358,127.3604909,3,,POINT (127.3604909 36.3707358)
10076512441,36.3733656,127.3656755,1,,POINT (127.3656755 36.3733656)
10076512452,36.3729539,127.3656565,3,,POINT (127.3656565 36.3729539)
